DATE,AVG_LP100K,DISTANCE,AVG_SPEED,FUEL,AVG_LOAD,DURATION,IDLE_TIME
2017-03-04 08:55:21.298934,8.62751616456,0,2.72222222222,0.00541514048232,22.0043572985,20,7
2017-03-04 08:58:39.369642,6.01917995573,233,91.1431058875,11.7691034576,59.5770731843,9168,182
2017-03-04 12:40:12.569859,17.0882057273,10,41.4107929515,0.835073163448,40.3286689125,892,105
2017-03-04 13:31:41.393090,13.8432571853,14,41.6285942492,1.05006762646,38.2500156612,1235,192
2017-03-04 14:09:08.369621,15.7221675431,7,20.0675675676,0.857006298239,38.6176888963,1389,558
2017-03-05 12:45:24.892839,52.4816738443,0,1.66666666667,0.0132002412109,48.2947118241,27,12
2017-03-05 14:14:55.554177,18.583323468,7,27.254822335,0.709202270574,37.1760724594,968,212
2017-03-05 17:45:26.779115,13.5339156627,7,30.1222857143,0.651652764674,36.8071708683,858,183
2017-03-06 09:13:04.178569,12.4324626994,14,26.4273639725,1.04569074414,43.7637115068,1871,536
2017-03-06 11:18:22.113602,14.0615838323,8,35.2075055188,0.682350790824,37.4553088344,889,121
2017-03-06 12:17:36.043561,16.7280008898,5,29.3817663818,0.513605262574,36.8387240936,686,171
2017-03-06 12:35:59.447608,19.9644774567,2,19.1604278075,0.236987188869,37.1741637832,357,102
2017-03-06 13:21:16.918441,14.4312658596,7,28.8444444444,0.710519649838,37.4237991493,928,259
2017-03-06 13:42:04.338260,15.5884876317,7,27.4527896996,0.650517612606,38.7607674649,915,281
2017-03-06 15:06:35.905245,25.070768454,1.16722222222,24.0114285714,0.106580091705,32.3338935574,159,22
2017-03-06 15:13:46.433931,15.9340574238,1.19611111111,22.9042553191,0.118671088227,34.8894451398,172,21
2017-03-06 16:19:53.904250,13.2201074706,56.6341666667,36.0090074179,4.27657697106,39.4429723841,5645,1710
2017-03-06 21:58:17.266228,11.311970421,1.79166666667,35.8333333333,0.131906258888,51.7320261438,174,17
2017-03-06 22:04:44.618157,8.73739380235,2.54861111111,27.1449704142,0.171018608619,48.0751827358,322,74
2017-03-07 03:40:27.110338,7.31546334861,49.7644444444,43.578691316,3.36799624642,49.6175254339,4095,1499
2017-03-07 15:47:20.460807,14.2168408496,50.8305555556,42.8849308648,3.65241742036,39.3730269234,4251,1119
2017-03-08 06:01:24.688698,8.14782376325,50.7933333333,57.9759036145,2.68604597086,52.0869857138,3137,597
2017-03-08 06:58:44.933761,11.9720303387,13.0602777778,29.3489388265,0.9184617961,39.7353797949,1472,206
2017-03-08 07:37:45.256283,11.1013032833,1.61194444444,24.5889830508,0.134006740034,40.5590321235,217,13
2017-03-08 16:44:41.832407,14.1886234803,50.8425,35.0235361653,3.9726212593,39.8641783541,5208,1779
2017-03-09 04:58:05.629913,9.86542669021,49.7952777778,56.92696094,2.77321335149,58.8638783554,3133,544
2017-03-09 16:19:18.802023,15.2357646429,50.8402777778,42.7029864676,3.63285548992,39.8245999286,4269,990
2017-03-10 04:17:11.775186,8.91200882959,49.7688888889,53.9662650602,2.75042498378,58.1785967399,3303,702
2017-03-10 16:34:58.865532,19.9714991098,50.9844444444,29.9077725273,4.29144280368,36.1094230751,6121,2161
2017-03-11 05:52:27.789860,7.84311861802,44.7819444444,68.311440678,2.30365968551,58.6043536058,2344,179
2017-03-12 11:17:48.703905,12.0999441365,16.4355555556,37.51934052,1.26190878291,39.5670608129,1560,399
2017-03-12 12:24:40.827461,13.0574647745,23.4252777778,45.2662372517,1.6885008424,38.2743414059,1847,181
2017-03-12 13:27:06.903860,18.0737796873,3.38555555556,30.6231155779,0.298867127323,40.4059513253,382,80
2017-03-12 13:41:18.722040,26.2093959612,1.1725,22.8162162162,0.134876225135,37.3524112348,169,25
2017-03-12 15:11:29.081847,51.5116471435,0.0202777777778,1.21666666667,0.0164403918631,32.1241830065,44,18
2017-03-13 03:54:40.867014,8.5250797915,49.67,63.9299249196,2.6000231598,62.9812053531,2781,269
2017-03-13 04:47:12.382993,12.2429758125,0.274444444444,4.53211009174,0.0542826429733,33.9485518978,202,73
2017-03-13 17:35:19.994704,12.1739100771,51.1605555556,53.4004059148,3.26945961211,39.7313230888,3432,563
2017-03-14 05:22:47.465568,21.4572753635,2.35916666667,22.4089709763,0.201414300634,56.8048010761,373,72
2017-03-14 06:12:24.475934,12.0300475002,2.20888888889,25.9022801303,0.19637634849,54.78316408,291,34
2017-03-14 08:54:54.503621,11.2006477168,11.5466666667,36.6884377758,0.753798110819,48.3609366077,1116,182
2017-03-14 10:32:57.758353,10.9736836823,11.7483333333,44.7082452431,0.764840265795,35.1272953626,929,84
2017-03-14 16:19:50.995431,14.2034551453,4.91305555556,37.7927350427,0.347397357959,48.952572482,452,100
2017-03-14 16:33:57.049288,14.3751792893,45.9608333333,47.4502437625,3.15274636293,41.3208724844,3413,768
